cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_radius,signal_to_cell_ratio,foci_x,foci_y
13,89,0.2531,1.9683,2.83,7.78,782,259
14,90,0.2225,3.1903,3.3,14.34,1327,263
14,91,0.2225,2.1221,3.3,9.54,1374,237
14,92,0.2225,1.9542,6.6,8.78,1349,264
14,93,0.2225,2.0097,4.71,9.03,1340,242
15,94,0.1917,3.3968,4.24,17.72,445,288
15,95,0.1917,3.2238,3.3,16.82,434,273
15,96,0.1917,2.9093,2.83,15.18,436,314
15,97,0.1917,2.4696,4.24,12.88,419,274
15,98,0.1917,3.1631,2.83,16.5,426,304
15,99,0.1917,2.049,2.83,10.69,448,273
15,100,0.1917,2.3541,4.71,12.28,463,302
15,101,0.1917,2.2663,3.3,11.82,457,267
15,102,0.1917,2.2133,3.77,11.55,415,314
16,103,0.2284,3.0727,3.3,13.45,890,286
16,104,0.2284,2.2156,2.83,9.7,904,274
16,105,0.2284,2.2241,3.3,9.74,891,316
16,106,0.2284,2.1312,3.3,9.33,903,328
16,107,0.2284,1.8637,3.77,8.16,875,294
16,108,0.2284,1.9968,2.83,8.74,891,305
17,109,0.1889,4.1436,2.83,21.93,1185,282
17,110,0.1889,2.6246,3.3,13.89,1168,287
17,111,0.1889,2.3256,3.3,12.31,1204,276
17,112,0.1889,1.9586,2.83,10.37,1149,284
18,113,0.1587,2.411,2.83,15.19,671,295
18,114,0.1587,2.1032,4.71,13.25,654,311
18,115,0.1587,2.2183,2.83,13.98,695,305
19,116,0.2227,3.0786,2.83,13.82,1056,330
19,117,0.2227,2.6825,2.83,12.05,1045,326
19,118,0.2227,2.634,2.83,11.83,1050,308
19,119,0.2227,2.8014,2.83,12.58,1045,303
19,120,0.2227,2.6077,2.83,11.71,1027,313
20,121,0.2572,3.2294,3.77,12.55,316,335
20,122,0.2572,3.2131,2.83,12.49,328,323
20,123,0.2572,1.8564,5.19,7.22,348,336
20,124,0.2572,1.8161,5.19,7.06,343,355
20,125,0.2572,1.7358,5.19,6.75,363,349
21,126,0.1692,2.8942,2.83,17.11,1202,355
21,127,0.1692,2.0545,2.83,12.15,1195,342
21,128,0.1692,2.5154,2.83,14.87,1172,351
21,129,0.1692,2.4763,2.83,14.64,1193,356
21,130,0.1692,2.5823,2.83,15.27,1185,336
21,131,0.1692,2.4849,2.83,14.69,1209,368
21,132,0.1692,2.4957,2.83,14.75,1177,360
21,133,0.1692,2.0656,2.83,12.21,1168,341
21,134,0.1692,2.3672,2.83,13.99,1207,340
21,135,0.1692,1.947,3.3,11.51,1183,340
21,136,0.1692,2.0674,2.83,12.22,1221,373
21,137,0.1692,1.6117,2.83,9.53,1184,371
22,138,0.247,3.2812,3.77,13.29,837,356
22,139,0.247,2.274,4.24,9.21,866,363
23,140,0.0678,1.925,2.83,28.4,1014,355
23,141,0.0678,2.8942,2.83,42.7,1065,372
23,142,0.0678,2.4796,2.83,36.58,1011,375
23,143,0.0678,1.5702,2.83,23.16,1018,348
23,144,0.0678,1.7496,3.77,25.81,1048,364
23,145,0.0678,2.1118,2.83,31.16,1026,377
24,146,0.0625,2.6335,2.83,42.15,560,406
25,147,0.1932,3.7725,3.3,19.52,658,413
25,148,0.1932,3.1029,4.71,16.06,641,416
25,149,0.1932,2.7832,4.24,14.4,624,420
25,150,0.1932,1.8722,5.66,9.69,620,436
25,151,0.1932,2.559,3.3,13.24,643,430
25,152,0.1932,2.0151,2.83,10.43,659,399
25,153,0.1932,2.1893,4.24,11.33,643,443
26,154,0.1106,2.6695,2.83,24.13,1110,420
26,155,0.1106,2.5929,2.83,23.43,1092,400
26,156,0.1106,2.1402,4.24,19.34,1081,398
26,157,0.1106,2.0707,3.3,18.71,1091,427
26,158,0.1106,1.908,2.83,17.24,1095,413
27,159,0.1657,3.259,2.83,19.66,206,458
27,160,0.1657,2.9316,2.83,17.69,211,440
27,161,0.1657,2.5016,3.3,15.09,219,468
27,162,0.1657,2.8681,2.83,17.3,227,429
27,163,0.1657,3.3502,2.83,20.21,229,454
27,164,0.1657,2.1542,2.83,13.0,222,431
28,165,0.1894,3.6815,3.3,19.44,51,448
28,166,0.1894,3.6266,2.83,19.15,45,422
28,167,0.1894,2.5179,2.83,13.29,34,447
28,168,0.1894,2.7282,2.83,14.41,33,462
28,169,0.1894,2.1179,3.77,11.18,60,466
28,170,0.1894,2.4895,2.83,13.14,36,471
28,171,0.1894,2.3352,2.83,12.33,67,444
28,172,0.1894,2.0543,2.83,10.85,49,479
28,173,0.1894,2.2173,3.3,11.71,62,431
28,174,0.1894,1.9965,2.83,10.54,31,434
29,175,0.193,2.7849,4.24,14.43,1292,434
29,176,0.193,2.8455,2.83,14.75,1251,443
29,177,0.193,2.2694,4.24,11.76,1272,435
29,178,0.193,2.0351,2.83,10.55,1265,470
29,179,0.193,2.061,3.3,10.68,1257,465
29,180,0.193,2.207,2.83,11.44,1268,459
29,181,0.193,1.971,4.24,10.21,1240,437
