ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,Bild
4793.0,3760,78.44773628207803,1033.0,21.552263717921967,0.0,0.0,Otsu,2
4246.0,2800,65.94441827602449,1446.0,34.05558172397551,0.0,0.0,Otsu,2
2939.0,2466,83.90609050697516,473.0,16.09390949302484,0.0,0.0,Otsu,2
8889.0,6060,68.17414782315221,2829.0,31.82585217684779,0.0,0.0,Otsu,2
3371.0,2748,81.51883714031445,623.0,18.481162859685554,0.0,0.0,Otsu,2
6060.0,1038,17.12871287128713,5022.0,82.87128712871286,0.0,0.0,Otsu,2
6004.0,5030,83.77748167888075,974.0,16.222518321119253,0.0,0.0,Otsu,2
3420.0,2625,76.75438596491229,795.0,23.24561403508772,0.0,0.0,Otsu,2
4620.0,3687,79.8051948051948,933.0,20.194805194805195,0.0,0.0,Otsu,2
3846.0,2814,73.16692667706708,1032.0,26.833073322932915,0.0,0.0,Otsu,2
1076.0,762,70.817843866171,314.0,29.182156133828997,0.0,0.0,Otsu,2
9139.0,7816,85.52358026042236,1323.0,14.476419739577635,0.0,0.0,Otsu,2
4841.0,4188,86.51105143565378,653.0,13.48894856434621,0.0,0.0,Otsu,2
4486.0,3049,67.96700847079804,1437.0,32.03299152920196,0.0,0.0,Otsu,2
4699.0,3907,83.14535007448394,792.0,16.854649925516068,0.0,0.0,Otsu,2
11771.0,9185,78.03075354685244,2586.0,21.969246453147566,0.0,0.0,Otsu,2
4028.0,2838,70.45680238331678,1190.0,29.54319761668322,0.0,0.0,Otsu,2
4087.0,2660,65.0844139955958,1427.0,34.91558600440421,0.0,0.0,Otsu,2
26146.0,23446,89.6733726000153,2700.0,10.326627399984702,0.0,0.0,Otsu,2
95.0,0,0.0,95.0,100.0,0.0,0.0,Otsu,2
3588.0,2969,82.74804905239688,619.0,17.25195094760312,0.0,0.0,Otsu,2
3701.0,2552,68.95433666576601,1149.0,31.045663334233993,0.0,0.0,Otsu,2
3671.0,1919,52.27458458185781,1752.0,47.7254154181422,0.0,0.0,Otsu,2
4970.0,4444,89.41649899396378,526.0,10.583501006036217,0.0,0.0,Otsu,2
4266.0,3497,81.97374589779653,769.0,18.02625410220347,0.0,0.0,Otsu,2
6632.0,5070,76.4475271411339,1562.0,23.552472858866103,0.0,0.0,Otsu,2
5522.0,4834,87.54074610648316,688.0,12.459253893516841,0.0,0.0,Otsu,2
5134.0,4161,81.04791585508376,973.0,18.952084144916245,0.0,0.0,Otsu,2
3452.0,2779,80.50405561993047,673.0,19.495944380069524,0.0,0.0,Otsu,2
3296.0,2391,72.54247572815534,905.0,27.457524271844658,0.0,0.0,Otsu,2
92.0,0,0.0,92.0,100.0,0.0,0.0,Otsu,2
4182.0,2911,69.6078431372549,1271.0,30.392156862745097,0.0,0.0,Otsu,2
4114.0,2212,53.76762275157997,1902.0,46.23237724842003,0.0,0.0,Otsu,2
9560.0,4582,47.92887029288703,4978.0,52.07112970711297,0.0,0.0,Otsu,2
5049.0,3944,78.11447811447812,1105.0,21.885521885521886,0.0,0.0,Otsu,2
3991.0,3045,76.29666750187923,946.0,23.703332498120773,0.0,0.0,Otsu,2
3742.0,2019,53.955104222341,1723.0,46.04489577765901,0.0,0.0,Otsu,2
4587.0,3313,72.22585567909309,1274.0,27.774144320906913,0.0,0.0,Otsu,2
