ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,ImageIndex
8338.0,7167,85.95586471575918,1171.0,14.044135284240825,0.0,0.0,Otsu,2
4707.0,3808,80.90078606330997,899.0,19.099213936690035,0.0,0.0,Otsu,2
3917.0,2379,60.7352565739086,1538.0,39.2647434260914,0.0,0.0,Otsu,2
6459.0,5039,78.01517262734168,1420.0,21.984827372658305,0.0,0.0,Otsu,2
4567.0,4268,93.45303262535582,299.0,6.546967374644186,0.0,0.0,Otsu,2
7253.0,7006,96.59451261546947,247.0,3.405487384530539,0.0,0.0,Otsu,2
3971.0,3689,92.89851422815411,282.0,7.101485771845882,0.0,0.0,Otsu,2
8667.0,8165,94.20791508018922,502.0,5.792084919810776,0.0,0.0,Otsu,2
3472.0,2835,81.65322580645162,637.0,18.346774193548388,0.0,0.0,Otsu,2
3642.0,2934,80.56013179571664,708.0,19.43986820428336,0.0,0.0,Otsu,2
3741.0,2131,56.963378775728415,1610.0,43.036621224271585,0.0,0.0,Otsu,2
4528.0,4163,91.93904593639576,365.0,8.06095406360424,0.0,0.0,Otsu,2
3936.0,3549,90.16768292682927,387.0,9.832317073170731,0.0,0.0,Otsu,2
3845.0,3838,99.81794538361508,7.0,0.18205461638491546,0.0,0.0,Otsu,2
5966.0,5419,90.83137780757626,547.0,9.168622192423735,0.0,0.0,Otsu,2
4206.0,3244,77.12791250594388,962.0,22.87208749405611,0.0,0.0,Otsu,2
4036.0,3733,92.49256689791872,303.0,7.507433102081268,0.0,0.0,Otsu,2
3661.0,2824,77.13739415460256,837.0,22.862605845397432,0.0,0.0,Otsu,2
2812.0,2486,88.4068278805121,326.0,11.593172119487908,0.0,0.0,Otsu,2
2595.0,2594,99.96146435452793,1.0,0.03853564547206166,0.0,0.0,Otsu,2
4063.0,3053,75.14152104356387,1010.0,24.85847895643613,0.0,0.0,Otsu,2
7400.0,6547,88.47297297297297,853.0,11.527027027027028,0.0,0.0,Otsu,2
5755.0,1038,18.036490008688098,4717.0,81.9635099913119,0.0,0.0,Otsu,2
