experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1819,2,101,0.0105,1.6025,1.2032,2.83,153.33,505,180
Ex 3 day 1819,2,102,0.0105,1.786,1.4612,2.83,170.89,446,88
Ex 3 day 1819,2,103,0.0105,1.8028,1.5345,2.83,172.5,442,181
Ex 3 day 1819,2,104,0.0105,1.6796,1.0528,2.83,160.71,374,178
Ex 3 day 1819,2,105,0.0105,1.9237,1.513,2.83,184.06,392,194
Ex 3 day 1819,2,106,0.0105,2.1324,1.6293,2.83,204.03,342,224
Ex 3 day 1819,2,107,0.0105,2.0637,1.7629,2.83,197.46,335,168
Ex 3 day 1819,2,108,0.0105,2.3664,1.8951,2.83,226.43,362,229
Ex 3 day 1819,2,109,0.0105,1.9483,1.2015,2.83,186.41,428,112
Ex 3 day 1819,2,110,0.0105,1.8921,1.3829,2.83,181.04,519,163
Ex 3 day 1819,2,111,0.0105,2.0182,1.5951,2.83,193.11,342,145
Ex 3 day 1819,2,112,0.0105,2.1349,1.7091,2.83,204.28,541,172
Ex 3 day 1819,2,113,0.0105,1.577,1.3809,3.77,150.89,370,187
Ex 3 day 1819,2,114,0.0105,2.0566,1.6592,2.83,196.78,475,85
Ex 3 day 1819,2,115,0.0105,1.4103,1.2056,2.83,134.94,445,91
Ex 3 day 1819,2,116,0.0105,1.6502,1.3633,2.83,157.89,445,172
Ex 3 day 1819,2,117,0.0105,1.9462,1.6729,2.83,186.21,370,250
Ex 3 day 1819,2,118,0.0105,1.9379,1.5449,2.83,185.42,421,107
Ex 3 day 1819,2,119,0.0105,1.3421,1.2434,4.24,128.42,365,226
Ex 3 day 1819,2,120,0.0105,1.4313,1.25,2.83,136.95,475,108
Ex 3 day 1819,2,121,0.0105,1.4693,1.0537,2.83,140.58,396,221
Ex 3 day 1819,2,122,0.0105,1.2051,0.823,2.83,115.3,474,225
Ex 3 day 1819,2,123,0.0105,1.9819,1.5641,2.83,189.63,495,192
Ex 3 day 1819,2,124,0.0105,1.6872,1.1456,2.83,161.43,348,173
Ex 3 day 1819,2,125,0.0105,2.3455,1.6767,2.83,224.42,363,234
Ex 3 day 1819,2,126,0.0105,2.034,1.6294,2.83,194.62,469,266
Ex 3 day 1819,2,127,0.0105,1.3733,1.4196,3.77,131.4,469,93
Ex 3 day 1819,2,128,0.0105,1.7725,1.3883,2.83,169.59,446,110
Ex 3 day 1819,2,129,0.0105,2.1355,1.7125,2.83,204.33,437,190
Ex 3 day 1819,2,130,0.0105,1.5414,1.3433,2.83,147.49,412,234
Ex 3 day 1819,2,131,0.0105,1.6685,1.2525,2.83,159.65,364,264
Ex 3 day 1819,2,132,0.0105,1.9965,1.7221,2.83,191.03,366,255
Ex 3 day 1819,2,133,0.0105,1.5445,1.1829,2.83,147.78,422,95
Ex 3 day 1819,2,134,0.0105,1.8492,1.508,2.83,176.93,389,107
Ex 3 day 1819,2,135,0.0105,1.5377,1.2021,2.83,147.13,444,219
Ex 3 day 1819,2,136,0.0105,1.443,1.0574,2.83,138.07,471,246
Ex 3 day 1819,2,137,0.0105,1.3165,1.1484,2.83,125.97,370,165
Ex 3 day 1819,2,138,0.0105,1.494,1.3176,2.83,142.95,376,267
Ex 3 day 1819,2,139,0.0105,1.4673,1.175,2.83,140.4,469,136
Ex 3 day 1819,2,140,0.0105,1.7445,1.2411,2.83,166.92,444,78
Ex 3 day 1819,2,141,0.0105,1.9332,1.603,2.83,184.97,463,215
